Ware ID,Macro Name,Name,Description,Type,Size,Mk Level,Price Min,Price Avg,Price Max,Tags
mod_ship_countermeasurecapacity_01_mk1,,Barrage (Countermeasure Capacity Mod - Basic Quality),No information available(No information available),countermeasure,,1,42500,50000,57500,"crafting,equipmentmod"
countermeasure_flares_01,countermeasure_flares_01_macro,Flares,"A piece of equipment tried and tested over hundreds of years, the modern flare has continued to be a boon for many a combat pilot in recent years. Forcibly ejected from a compartment of a ship, flares then explode so that the sudden heat signature may distract a guided missile from its original target, and before exploding additionally send out a small electro-magnetic signature that can disrupt a target lock before a missile is even fired.",countermeasure,,1,2179,2421,2663,"countermeasure,equipment"
ship_gen_xs_buildingdrone_01_a,ship_gen_xs_buildingdrone_01_a_macro,Building Drone,"Affectionately named ""termites"", building drones are an essential component of station construction.\n\nAll races have moved to drone-based construction due to the scale of injury and loss of sentient life incurred through manual methods.",drone,xs,1,12980,15270,17561,"drone,equipment"
ship_gen_xs_cargodrone_empty_01_a,ship_gen_xs_cargodrone_empty_01_a_macro,Cargo Drone,The Cargo Drone is a Teladi invention that expedites freight transfers and is ubiquitously popular among merchants across the known galaxy.,drone,xs,1,13728,16150,18573,"drone,equipment"
ship_gen_s_fightingdrone_01_a,ship_gen_s_fightingdrone_01_a_macro,Defence Drone,"Advanced battlefield tactical command has been transformed by the evolution of Defence Drones. Once little more than cannon fodder, a drone swarm is now a formidable defensive capability.\n\nThe very best commanders are able to coordinate drone and non-drone strategies, adapting them to make best use of the strengths of each. Defence drone mastery is not an easy task, however; it is the mark of a top-flight tactician.",drone,s,1,11611,13660,15709,"drone,equipment"
ship_gen_s_miningdrone_liquid_01_a,ship_gen_s_miningdrone_liquid_01_a_macro,Gas Collector Drone,"The Gas Collector Drone is an advanced drone system that greatly increases the efficiency of gaseous harvesting operations, particularly when used in large quantities.",drone,s,1,11781,13860,15939,"drone,equipment"
ship_gen_m_transdrone_container_01_a,ship_gen_m_transdrone_container_01_a_macro,Medium Drop Drone,"The Drop Drone is an essential system in terraforming operations, transporting the required surface-bound wares.\n\nThe Medium-sized model is an upgraded drone with additional capacity.",drone,m,1,39610,46600,53590,"noplayerbuild,ship"
ship_gen_m_transdrone_container_02_a,ship_gen_m_transdrone_container_02_a_macro,Medium Terraforming Drone,"The economic benefits of a successful planetary reformat can be immense.\n\nThe Small Terraforming Drone is a highly complex, state-of-the-art innovation, essential for enabling this work. The Medium Terraforming Drone is an enhanced model, offering a greater operational efficiency.",drone,m,1,39610,46600,53590,"noplayerbuild,ship"
ship_gen_s_miningdrone_solid_01_a,ship_gen_s_miningdrone_solid_01_a_macro,Mining Drone,"The humble Mining Drone is an essential asset at the heart of any primary resource-based business empire. Inexpensive, but highly vulnerable, the ""termite"" as it is colloquially referred to, is highly effective, particularly when deployed in large numbers.",drone,s,1,11781,13860,15939,"drone,equipment"
ship_gen_xs_repairdrone_01_a,ship_gen_xs_repairdrone_01_a_macro,Repair Drone,"The Repair Drone is an autonomous, self-propelled micro-vessel that is used for the repair of ship and station hulls.",drone,xs,1,12980,15270,17561,"drone,equipment"
