Macro Name,Name,Size,Mk Level,Description,Price Min,Price Avg,Price Max,Tags,Forward Thrust,Reverse Thrust,Boost Thrust,Boost Duration,Boost Recharge,Travel Thrust,Travel Charge Time,Travel Attack Time,Travel Release Time
engine_spacesuit_weak_macro,Disrupted Engine,,1,This spacesuit propulsion unit is disrupted and operating below the manufacturer's published performance levels.,800,1000,1200,,0.01,0.01,2.0,5.0,0.0,0.0,0.0,0.0,0.0
engine_gen_spacesuit_01_mk1_macro,Spacesuit Thrusters Mk1,,1,Pilots using the standard spacesuit propulsion unit for extended distances are advised to have patience and an adequate supply of Oxygen.,800,1000,1200,,0.3,0.3,2.0,3600.0,0.0,0.0,0.0,0.0,0.0
engine_gen_spacesuit_01_mk2_macro,Spacesuit Thrusters Mk2,,2,"It remains uncertain how the fashion for personal propulsion unit modifications first arose. However, the alarming increase in injuries from such ""home-mods"" led to the formalisation of standards for the Mk 2 spacesuit propulsion unit.\n\nThis widely applauded measure has radically reduced the accidental incineration rate across all known sectors.",45000,60000,75000,,0.75,0.5,3.0,3600.0,0.0,0.0,0.0,0.0,0.0
engine_arg_l_allround_01_mk1_macro,All-round Engine,l,1,"Like most representative democracies, the Argon Federation prioritises crew survival in armed combat vessels over cost effectiveness. Since survivability is proportional to the ability to evade unwinnable situations, Argon engines feature powerful afterburners, providing ample boost for evasive manoeuvres, and the chance to return to the fight unscathed.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",321518,357242,392966,,3900.0,3705.0,6.89,27.0,92.0,30.53,20.0,91.0,22.5
engine_arg_l_allround_02_mk1_macro,All-round Engine,l,1,"Like most representative democracies, the Argon Federation prioritises crew survival in armed combat vessels over cost effectiveness. Since survivability is proportional to the ability to evade unwinnable situations, Argon engines feature powerful afterburners, providing ample boost for evasive manoeuvres, and the chance to return to the fight unscathed.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",0,0,0,,4206.0,4627.0,2.0,27.0,92.0,13.0,20.0,750.0,22.5
engine_bor_l_travel_01_mk1_macro,All-round Engine,l,1,"Before the Fall of the Gates, a highly efficient engine type emerged from the Queendom's propulsion foundry, variants of which remain in use today. Its emphasis is on engaging Travel Mode instantly, as well as long boost durations. Combined, these offset the mediocre general thrust. Boron engines are incompatible with non-Boron vessels.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",366089,411336,456583,,3000.0,3300.0,5.04,46.0,200.0,41.8,0.0,95.5,1.25
engine_par_l_allround_01_mk1_macro,All-round Engine,l,1,"Paranid propulsion foundries have long been known for designing the fastest engines commercially available. With mathematics and engineering being a matter of religious determination and national pride, they've maintained their edge for countless decades. Paranid engines excel at both speed and long-range operations.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",324732,360814,396895,,4420.0,3978.0,4.2,33.6,136.0,30.6,16.0,72.0,22.5
engine_par_l_allround_02_mk1_macro,All-round Engine,l,1,"Paranid propulsion foundries have long been known for designing the fastest engines commercially available. With mathematics and engineering being a matter of religious determination and national pride, they've maintained their edge for countless decades. Paranid engines excel at both speed and long-range operations.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",0,0,0,,4420.0,4774.0,4.2,33.6,136.0,30.6,16.0,72.0,22.5
engine_spl_l_allround_01_mk1_macro,All-round Engine,l,1,"True to their warrior culture, Split engine design prioritises raw thrust above all else. Optimised for combat, these engines largely ignore safety considerations, sacrificing travel drive efficiency for superior manoeuvrability.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",258153,368448,480054,,5200.0,5200.0,5.04,33.6,128.0,16.77,17.0,72.8,22.5
engine_tel_l_allround_01_mk1_macro,All-round Engine,l,1,"Teladi engines may seem unremarkable at first glance, but their extended boost duration and efficient travel drive optimisation suits them for both long and short-range transportation duty. While not combat-optimised, they're valued for their reliability and longevity.\n\nShipowners who want to be ready for anything often choose the All-round class engine, which balances long-distance speed with localised acceleration capability.\n\nLarge, L-size engines may only be fitted to vessels of the corresponding size category.\n\nThe Mark I drive is the basic model.",321235,356928,392621,,4000.0,4400.0,3.75,44.0,120.0,28.6,10.0,57.0,18.0
