Macro Name,Name,Description,Size,Type,Class,Purpose,Hull,Mass,Price Min,Price Avg,Price Max,Cargo,Missiles,Drones,Units,Crew,Race,Engine Slots,Shield Slots,Weapon Slots,Turret Slots,Unknown Slots,Total Slots,Forward Drag,Pitch Inertia,Yaw Inertia,Roll Inertia
ship_pir_l_scavenger_01_a_macro,Barbarossa,"The Dark left the Windfall system not only isolated, but also ill-equipped for ship building, since it lacked both a wharf and capable engineers. For nearly four decades, the inhabitants largely had to make do with an aging fleet of stranded ships that were taken by surprise by the Jump Gate shutdown. The few remaining engineers in the system were mainly occupied with maintenance, but experimented when they could with custom ship designs. They slowly learned the craft, and became creative with the resources they had to hand. Most of their custom creations were built from repurposed luxury mass traffic vehicles, spare engines disassembled from the leftover fleet, and various parts from scrapped ships that were beyond repair. It was only in 821 (NT), after the Jump Gate to Avarice opened, that a proper supply of resources allowed the engineers to finally abandon their custom creations and develop blueprints for mass production. Arguably, those blueprints still bear the hallmarks of the haphazard designs of the past.(Windfall Ship Building)\n\n(Barbarossa)With the reconnection of the Jump Gate between Avarice and Windfall in 821 (NT), a new vital, and highly contested, trade route opened. The first ships to transport food to Avarice, and building materials to Windfall, were mostly ancient relics from before the Dark. These ships were quickly left inoperable by the actions of pirates, and were replaced by the Raleigh, a courier developed at the Aurora Casino. Soon afterwards, the Alliance of the Word's Wharf began operations, and started producing Commonwealth transporters. It took the Solid Ice Union, a worker conglomerate of ice miners, until 823 (NT) to complete development of their own freighter, the Barbarossa. With its high speed and decent number of turrets, Solid Ice Union captains in their freighters would soon come to dominate the trade between Windfall and Avarice, fending off piracy and even attacking other freighters to fill up their own cargo holds.\n\nAfter designing the Barbarossa, Solid Ice Union engineers attempted to develop a destroyer, but lacked the required knowledge to design its weapon systems. These attempts were cut short by a moratorium imposed by the Syndicate, who distrusted the already well-armed Solid Ice Union, and threatened a civil war should they attempt to militarise further.",l,scavenger,ship_l,fight,114000,243.18,5382530,7714025,10045520,0,160,0,10,126,argon,3,12,2,10,6,33,86.42,180.0,180.0,104.034
ship_arg_l_destroyer_02_a_macro,Behemoth E,"The original design of the Behemoth-class destroyer was put into development mid-way through the Kha'ak conflict, during which the Titan-class was beginning to show its age and inefficiencies. At first too expensive for a crippled Argon economy, then too complex to produce quickly during the Terran Conflict, the first Behemoth did not ship out until long after that war had ended, and the Jump Gates had begun to catastrophically fail. It was only when Argon Prime and Black Hole Sun came back into contact that the Behemoth could be rolled out more frequently.",l,destroyer,ship_l,fight,102000,260.472,5000664,6250830,7500996,0,160,0,10,48,argon,3,12,2,10,6,33,80.583,150.0,150.0,114.764
ship_arg_l_destroyer_01_b_macro,Behemoth Sentinel,"The original design of the Behemoth-class destroyer was put into development mid-way through the Kha'ak conflict, during which the Titan-class was beginning to show its age and inefficiencies. At first too expensive for a crippled Argon economy, then too complex to produce quickly during the Terran Conflict, the first Behemoth did not ship out until long after that war had ended, and the Jump Gates had begun to catastrophically fail. It was only when Argon Prime and Black Hole Sun came back into contact that the Behemoth could be rolled out more frequently.",l,destroyer,ship_l,fight,111000,235.22,4795063,5641250,6487438,2760,160,0,10,36,argon,3,12,2,10,6,33,108.805,103.378,103.378,82.702
ship_arg_l_destroyer_01_a_macro,Behemoth Vanguard,"The original design of the Behemoth-class destroyer was put into development mid-way through the Kha'ak conflict, during which the Titan-class was beginning to show its age and inefficiencies. At first too expensive for a crippled Argon economy, then too complex to produce quickly during the Terran Conflict, the first Behemoth did not ship out until long after that war had ended, and the Jump Gates had begun to catastrophically fail. It was only when Argon Prime and Black Hole Sun came back into contact that the Behemoth could be rolled out more frequently.",l,destroyer,ship_l,fight,93000,196.016,4006156,4713125,5420094,2300,160,0,10,44,argon,2,9,0,6,7,24,99.004,96.271,96.271,77.016
ship_pir_l_miner_solid_01_a_macro,Donia,"The Dark left the Windfall system not only isolated, but also ill-equipped for ship building, since it lacked both a wharf and capable engineers. For nearly four decades, the inhabitants largely had to make do with an aging fleet of stranded ships that were taken by surprise by the Jump Gate shutdown. The few remaining engineers in the system were mainly occupied with maintenance, but experimented when they could with custom ship designs. They slowly learned the craft, and became creative with the resources they had to hand. Most of their custom creations were built from repurposed luxury mass traffic vehicles, spare engines disassembled from the leftover fleet, and various parts from scrapped ships that were beyond repair. It was only in 821 (NT), after the Jump Gate to Avarice opened, that a proper supply of resources allowed the engineers to finally abandon their custom creations and develop blueprints for mass production. Arguably, those blueprints still bear the hallmarks of the haphazard designs of the past.(Windfall Ship Building)\n\n(Donia)When the Jump Gates between Avarice and Windfall connected in 821 (NT), the ice miners of Windfall, known as the Solid Ice Union, were already a dominant force in the system. For decades they had worked together to maintain an aging fleet of ice miners, of various Commonwealth designs, which were left stranded during the Dark. With a monopoly on food production and ice mining, it was imperative that they incorporated all capital ships in the system into their fleets, whether as working vessels or by scrapping them for parts. After the connection, they were the only faction in Windfall still capable of making full use of capital ships, and were unwavering in defending their mining rights against any newcomers.\n\nOnce the steady supply of resources from Avarice allowed the mass production of ships to restart, the Solid Ice Union began construction of a shipyard. At the same time, they started development of their own ice miner, the Donia. They drew on their experience with a broad range of ice miners, and their intricate knowledge of the strengths and weaknesses of now-dated Commonwealth designs. The result, introduced in 824 (NT), was a sturdy low-maintenance miner capable of fending off half-hearted boarding attempts, and it would soon replace their barely operable and outdated Commonwealth fleet.",l,largeminer,ship_l,mine,26000,168.244,1090800,1564470,2038140,0,30,0,10,31,argon,2,9,0,6,7,24,33.51,120.0,120.0,100.0
ship_arg_l_trans_container_03_b_macro,Incarcatura Sentinel,"Designed and produced as part of the push to revitalise the Argon economy after the Jump Gate realignment, the relatively new Incarcatura has become a popular alternative to the Veles and Mokosi design. Though there have been some concerns as to its length, that it might caught flight problems, most experts are willing to overlook these problems due to its cargo efficiency.",l,freighter,ship_l,trade,93000,718.559,4249222,4999085,5748948,54000,30,0,10,172,argon,2,11,0,7,7,27,183.712,600.0,600.0,420.0
ship_arg_l_trans_container_03_a_macro,Incarcatura Vanguard,"Designed and produced as part of the push to revitalise the Argon economy after the Jump Gate realignment, the relatively new Incarcatura has become a popular alternative to the Veles and Mokosi design. Though there have been some concerns as to its length, that it might caught flight problems, most experts are willing to overlook these problems due to its cargo efficiency.",l,freighter,ship_l,trade,78000,598.799,2632348,3096880,3561412,45000,30,0,10,207,argon,2,11,0,7,7,27,159.76,350.0,350.0,229.85
ship_arg_l_miner_liquid_01_a_macro,Magnetar (Gas),"As the trend towards collecting natural resources with ships continued, the inefficiencies of the solution started to become clear. While a medium-sized ship had the advantage of moving quickly through mineral and gas regions, their cargo bays were simply not big enough for industrial-scale mining to be lucrative.\n\nNaturally, the Teladi stepped in to design L-sized resource collectors that could solve that problem, and the Magnetar is the Argon response to these ships; a standardised model that can be built in two variants, allowing it to support both asteroid mining and natural gas collection.",l,largeminer,ship_l,mine,26000,205.27,1111460,1307600,1503740,42000,30,0,10,46,argon,2,7,0,7,6,22,56.738,133.749,133.749,106.999
ship_arg_l_miner_liquid_01_b_macro,Magnetar (Gas),"As the trend towards collecting natural resources with ships continued, the inefficiencies of the solution started to become clear. While a medium-sized ship had the advantage of moving quickly through mineral and gas regions, their cargo bays were simply not big enough for industrial-scale mining to be lucrative.\n\nNaturally, the Teladi stepped in to design L-sized resource collectors that could solve that problem, and the Magnetar is the Argon response to these ships; a standardised model that can be built in two variants, allowing it to support both asteroid mining and natural gas collection.",l,largeminer,ship_l,mine,32000,246.324,1350914,1589310,1827707,50400,30,0,10,38,argon,2,7,0,7,6,22,62.485,147.778,147.778,118.223
ship_arg_l_miner_solid_01_a_macro,Magnetar (Mineral),"As the trend towards collecting natural resources with ships continued, the inefficiencies of the solution started to become clear. While a medium-sized ship had the advantage of moving quickly through mineral and gas regions, their cargo bays were simply not big enough for industrial-scale mining to be lucrative.\n\nNaturally, the Teladi stepped in to design L-sized resource collectors that could solve that problem, and the Magnetar is the Argon response to these ships; a standardised model that can be built in two variants, allowing it to support both asteroid mining and natural gas collection.",l,largeminer,ship_l,mine,26000,204.245,1108727,1304385,1500043,40000,30,0,10,46,argon,2,7,0,7,6,22,56.594,132.733,132.733,106.186
