Macro Name,Name,Type,Size,Mk Level,Description,Hull,Price Min,Price Avg,Price Max,Tags,Damage Hull,Damage Shield,Fire Rate,Reload Time,Projectile Speed,Projectile Lifetime,Range Max,Heat Per Shot,Heat Dissipation,Overheat Time,Rotation Speed,DPS Hull,DPS Shield
turret_arg_l_beam_01_mk1_macro,Beam Turret,turret,l,1,"Considered to be an entry-level option, the Beam Turret is generally preferred by captains with tight budgetary considerations. That said, the weapon boasts a high level of accuracy, albeit with limits to the amount of damage it can inflict.\n\nThe large format Beam Turret is an upgraded version, however, its deficiencies in comparison with other armaments in its class remain apparent.",2300,135464,150515,165567,,147.0,147.0,0.0,0.0,299792500.0,0.0,899377500.0,0.0,0.0,0.0,40.0,0.0,0.0
turret_par_l_beam_01_mk1_macro,Beam Turret,turret,l,1,"Considered to be an entry-level option, the Beam Turret is generally preferred by captains with tight budgetary considerations. That said, the weapon boasts a high level of accuracy, albeit with limits to the amount of damage it can inflict.(same description as Argon Beam Turret)",3450,135464,150515,165567,,147.0,147.0,0.0,0.0,299792500.0,0.0,899377500.0,0.0,0.0,0.0,20.0,0.0,0.0
turret_spl_l_beam_01_mk1_macro,Beam Turret,turret,l,1,"Considered to be an entry-level option, the Beam Turret is generally preferred by captains with tight budgetary considerations. That said, the weapon boasts a high level of accuracy, albeit with limits to the amount of damage it can inflict.(same description as Argon Beam Turret)",2000,98006,150548,203353,,147.0,147.0,0.0,0.0,299792500.0,0.0,899377500.0,0.0,0.0,0.0,30.0,0.0,0.0
turret_tel_l_beam_01_mk1_macro,Beam Turret,turret,l,1,"Considered to be an entry-level option, the Beam Turret is generally preferred by captains with tight budgetary considerations. That said, the weapon boasts a high level of accuracy, albeit with limits to the amount of damage it can inflict.(same description as Argon Beam Turret)",3450,135460,150511,165562,,147.0,147.0,0.0,0.0,299792500.0,0.0,899377500.0,0.0,0.0,0.0,20.0,0.0,0.0
turret_ter_l_beam_01_mk1_macro,Beam Turret,turret,l,1,"Considered to be an entry-level option, the Beam Turret is generally preferred by captains with tight budgetary considerations. That said, the weapon boasts a high level of accuracy, albeit with limits to the amount of damage it can inflict.(same description as Argon Beam Turret)",3600,325218,361353,397488,,176.0,176.0,0.0,0.0,299792500.0,0.0,899377500.0,0.0,0.0,0.0,20.0,0.0,0.0
turret_ter_l_gatling_01_mk1_macro,Bolt Turret,turret,l,1,"Considered to be a support weapon, some captains exclusively train the Bolt Turret on medium-sized targets due to its relatively poor rotation speed. More advanced tactics include their use in suppressing shield recharge and inhibiting the activation of travel drives.\n\nTerran engineers have succeeded in developing the Large Bolt Turret, with several upgrades increasing commanders' effective tactical options for this weapons system. In the larger format, it can be considered an effective support weapon in capital ship engagements.",3600,157080,184800,212520,,625.0,625.0,0.0,0.0,1288.4,0.0,5590.3676000000005,0.0,0.0,0.0,20.0,0.0,0.0
turret_arg_l_dumbfire_01_mk1_macro,Dumbfire Turret,turret,l,1,No information available(No information available),5000,67905,75450,82995,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
turret_par_l_dumbfire_01_mk1_macro,Dumbfire Turret,turret,l,1,No information available(No information available),7500,67905,75450,82995,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
turret_spl_l_dumbfire_01_mk1_macro,Dumbfire Turret,turret,l,1,No information available(No information available),4250,49955,76329,102822,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
turret_tel_l_dumbfire_01_mk1_macro,Dumbfire Turret,turret,l,1,No information available(No information available),7500,67903,75447,82992,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
turret_ter_l_dumbfire_01_mk1_macro,Dumbfire Turret,turret,l,1,No information available(No information available),7800,163005,181117,199229,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
turret_xen_l_laser_01_mk1_macro,Graviton Turret,turret,l,1,"The Xenon Graviton Turret is one of the most effective turret weapons known. While lacking in range, it delivers massive damage using a high-velocity projectile.\n\nTerran weapon-smiths are silent on whether this technology has informed the engineering of their own armaments.",3500,13392,14880,16368,,3229.0,3229.0,0.0,0.0,1958.0,0.0,5182.826,0.0,0.0,0.0,35.0,0.0,0.0
